variant,jitter_p95_ms,loss_pct,overhead_pct,added_latency_p95_ms,family,seed
duality_dual,4.440892098500626e-12,0.025,7.941666666666666,15.0,cable_ftth_evening,14
baseline,13.304727513032688,2.4,0.0,0.0,cable_ftth_evening,15
duality_single,4.440892098500626e-12,2.083333333333333,7.000000000000001,15.0,cable_ftth_evening,15
duality_dual,4.440892098500626e-12,0.03333333333333333,7.325,15.0,cable_ftth_evening,15
baseline,13.038714806713111,0.0,0.0,0.0,cable_ftth_evening,16
duality_single,4.440892098500626e-12,0.0,7.000000000000001,15.0,cable_ftth_evening,16
duality_dual,4.440892098500626e-12,0.0,5.0,15.0,cable_ftth_evening,16
baseline,14.251305786496445,2.475,0.0,0.0,cable_ftth_evening,17
duality_single,4.440892098500626e-12,2.158333333333333,7.000000000000001,15.0,cable_ftth_evening,17
duality_dual,4.440892098500626e-12,0.04166666666666667,7.375,15.0,cable_ftth_evening,17
baseline,14.620606403862967,2.3,0.0,0.0,cable_ftth_evening,18
duality_single,4.440892098500626e-12,1.9666666666666666,7.000000000000001,15.0,cable_ftth_evening,18
duality_dual,4.440892098500626e-12,0.008333333333333333,7.233333333333333,15.0,cable_ftth_evening,18
baseline,13.227296707079006,1.9,0.0,0.0,cable_ftth_evening,19
duality_single,4.440892098500626e-12,1.633333333333333,7.000000000000001,15.0,cable_ftth_evening,19
duality_dual,4.440892098500626e-12,0.0,6.866666666666667,15.0,cable_ftth_evening,19
baseline,12.374501148720178,1.8499999999999999,0.0,0.0,cable_ftth_evening,20
duality_single,4.440892098500626e-12,1.625,7.000000000000001,15.0,cable_ftth_evening,20
duality_dual,4.440892098500626e-12,0.008333333333333333,6.816666666666666,15.0,cable_ftth_evening,20
baseline,35.75122097437247,2.833333333333333,0.0,0.0,rural_dsl_tails,1
duality_single,4.839339061750536,2.466666666666667,7.000000000000001,15.0,rural_dsl_tails,1
duality_dual,4.0581431420629315,0.05833333333333334,7.716666666666667,15.0,rural_dsl_tails,1
baseline,37.38197680241627,1.8333333333333333,0.0,0.0,rural_dsl_tails,2
duality_single,5.770377264822457,1.6,7.000000000000001,15.0,rural_dsl_tails,2
duality_dual,5.008338583861647,0.016666666666666666,6.791666666666667,15.0,rural_dsl_tails,2
baseline,35.9923690321981,1.825,0.0,0.0,rural_dsl_tails,3
duality_single,4.4890331056316235,1.575,7.000000000000001,15.0,rural_dsl_tails,3
duality_dual,4.004670601869176,0.05833333333333334,6.725,15.0,rural_dsl_tails,3
baseline,35.99334223617845,2.3166666666666664,0.0,0.0,rural_dsl_tails,4
duality_single,6.398648914980853,2.033333333333333,7.000000000000001,15.0,rural_dsl_tails,4
duality_dual,5.347033020909352,0.2,7.083333333333333,15.0,rural_dsl_tails,4
baseline,36.473474741752355,2.1999999999999997,0.0,0.0,rural_dsl_tails,5
duality_single,5.210995885562317,1.9083333333333334,7.000000000000001,15.0,rural_dsl_tails,5
duality_dual,4.454480920444137,0.075,7.075,15.0,rural_dsl_tails,5
baseline,36.4250931531531,3.5083333333333333,0.0,0.0,rural_dsl_tails,6
duality_single,4.544359346049919,3.041666666666667,7.000000000000001,15.0,rural_dsl_tails,6
duality_dual,3.7129117614284723,0.16666666666666669,8.291666666666666,15.0,rural_dsl_tails,6
baseline,36.090538363572165,2.475,0.0,0.0,rural_dsl_tails,7
duality_single,4.808680442759636,2.166666666666667,7.000000000000001,15.0,rural_dsl_tails,7
duality_dual,4.125949445471644,0.05833333333333334,7.383333333333333,15.0,rural_dsl_tails,7
baseline,37.67813104692301,0.9916666666666667,0.0,0.0,rural_dsl_tails,8
duality_single,5.164629220242212,0.8500000000000001,7.000000000000001,15.0,rural_dsl_tails,8
duality_dual,4.999999999998117,0.04166666666666667,5.925,15.0,rural_dsl_tails,8
baseline,36.487757625450016,1.2083333333333333,0.0,0.0,rural_dsl_tails,9
duality_single,6.786890973991594,1.05,7.000000000000001,15.0,rural_dsl_tails,9
duality_dual,6.278926835487653,0.0,6.191666666666666,15.0,rural_dsl_tails,9
baseline,36.89766691619383,0.46666666666666673,0.0,0.0,rural_dsl_tails,10
duality_single,5.23033804317885,0.4,7.000000000000001,15.0,rural_dsl_tails,10
duality_dual,5.075842870417978,0.016666666666666666,5.441666666666666,15.0,rural_dsl_tails,10
baseline,36.581193429703966,1.6416666666666666,0.0,0.0,rural_dsl_tails,11
duality_single,4.430499438538149,1.4333333333333333,7.000000000000001,15.0,rural_dsl_tails,11
duality_dual,3.8612385361131984,0.03333333333333333,6.583333333333334,15.0,rural_dsl_tails,11
baseline,35.38885841730147,3.4750000000000005,0.0,0.0,rural_dsl_tails,12
duality_single,5.1066550495709535,3.0166666666666666,7.000000000000001,15.0,rural_dsl_tails,12
duality_dual,4.573778070662055,0.2916666666666667,8.1,15.0,rural_dsl_tails,12
baseline,37.40905537258426,0.42500000000000004,0.0,0.0,rural_dsl_tails,13
duality_single,5.035892846545535,0.375,7.000000000000001,15.0,rural_dsl_tails,13
duality_dual,4.925671722065772,0.0,5.416666666666667,15.0,rural_dsl_tails,13
baseline,34.36045878395719,2.5416666666666665,0.0,0.0,rural_dsl_tails,14
duality_single,4.270981819268993,2.191666666666667,7.000000000000001,15.0,rural_dsl_tails,14
duality_dual,3.6838056497692335,0.04166666666666667,7.458333333333333,15.0,rural_dsl_tails,14
baseline,35.86428513755704,0.49166666666666664,0.0,0.0,rural_dsl_tails,15
duality_single,3.7525109587449768,0.42500000000000004,7.000000000000001,15.0,rural_dsl_tails,15
duality_dual,3.671936118064007,0.03333333333333333,5.45,15.0,rural_dsl_tails,15
baseline,35.80769313781075,1.7166666666666668,0.0,0.0,rural_dsl_tails,16
duality_single,4.20885917661753,1.5166666666666666,7.000000000000001,15.0,rural_dsl_tails,16
duality_dual,4.065189410342196,0.05833333333333334,6.633333333333333,15.0,rural_dsl_tails,16
baseline,37.18767479159956,1.1416666666666666,0.0,0.0,rural_dsl_tails,17
duality_single,4.1653254033286755,0.9916666666666667,7.000000000000001,15.0,rural_dsl_tails,17
duality_dual,3.8732653752576063,0.008333333333333333,6.108333333333333,15.0,rural_dsl_tails,17
baseline,35.86955001525745,1.625,0.0,0.0,rural_dsl_tails,18
duality_single,6.301863490896589,1.4166666666666665,7.000000000000001,15.0,rural_dsl_tails,18
duality_dual,5.902367536584371,0.05833333333333334,6.533333333333333,15.0,rural_dsl_tails,18
baseline,35.419289418963906,1.2416666666666667,0.0,0.0,rural_dsl_tails,19
duality_single,5.303773045641336,1.0666666666666667,7.000000000000001,15.0,rural_dsl_tails,19
duality_dual,4.946483786404787,0.04166666666666667,6.166666666666667,15.0,rural_dsl_tails,19
baseline,34.61544494953265,1.0333333333333332,0.0,0.0,rural_dsl_tails,20
duality_single,3.6282883094020946,0.8999999999999999,7.000000000000001,15.0,rural_dsl_tails,20
duality_dual,3.5423255385715002,0.05833333333333334,5.958333333333333,15.0,rural_dsl_tails,20
baseline,41.30628900382938,1.4416666666666667,0.0,0.0,wifi_contention,1
duality_single,11.86374904963774,1.2166666666666666,7.000000000000001,15.0,wifi_contention,1
duality_dual,11.529101196753189,0.5333333333333333,5.841666666666667,15.0,wifi_contention,1
baseline,43.03770320832499,0.0,0.0,0.0,wifi_contention,2
duality_single,15.172107338574392,0.0,7.000000000000001,15.0,wifi_contention,2
duality_dual,15.172107338574392,0.0,5.0,15.0,wifi_contention,2
baseline,42.22876539706685,0.2,0.0,0.0,wifi_contention,3
duality_single,13.837542020792348,0.16666666666666669,7.000000000000001,15.0,wifi_contention,3
duality_dual,13.837542020792348,0.18333333333333332,5.0,15.0,wifi_contention,3
baseline,43.303336227277796,0.3,0.0,0.0,wifi_contention,4
duality_single,14.64475958444747,0.2583333333333333,7.000000000000001,15.0,wifi_contention,4
duality_dual,14.509591963611218,0.0,5.283333333333333,15.0,wifi_contention,4
baseline,42.74960427248542,0.18333333333333332,0.0,0.0,wifi_contention,5
duality_single,13.824872795860976,0.15,7.000000000000001,15.0,wifi_contention,5
duality_dual,13.826060782657915,0.16666666666666669,5.0,15.0,wifi_contention,5
baseline,43.54963956191688,1.35,0.0,0.0,wifi_contention,6
duality_single,15.576206721225017,1.125,7.000000000000001,15.0,wifi_contention,6
duality_dual,15.074284449592135,0.48333333333333334,5.775,15.0,wifi_contention,6
baseline,41.58395798735448,0.775,0.0,0.0,wifi_contention,7
duality_single,13.570791871400042,0.6416666666666667,7.000000000000001,15.0,wifi_contention,7
duality_dual,13.42695413193118,0.27499999999999997,5.458333333333333,15.0,wifi_contention,7
baseline,41.75937887323473,0.0,0.0,0.0,wifi_contention,8
duality_single,13.492293999493846,0.0,7.000000000000001,15.0,wifi_contention,8
duality_dual,13.492293999493846,0.0,5.0,15.0,wifi_contention,8
baseline,41.13346458855118,0.8083333333333333,0.0,0.0,wifi_contention,9
duality_single,14.694689529096472,0.6833333333333333,7.000000000000001,15.0,wifi_contention,9
duality_dual,14.562495818873666,0.44999999999999996,5.308333333333334,15.0,wifi_contention,9
baseline,43.23796870994345,0.625,0.0,0.0,wifi_contention,10
duality_single,14.20035593309725,0.5083333333333333,7.000000000000001,15.0,wifi_contention,10
duality_dual,14.192305588313891,0.3416666666666667,5.241666666666666,15.0,wifi_contention,10
baseline,41.93151840174131,0.575,0.0,0.0,wifi_contention,11
duality_single,12.656360208970106,0.49166666666666664,7.000000000000001,15.0,wifi_contention,11
duality_dual,12.313991663795123,0.016666666666666666,5.541666666666667,15.0,wifi_contention,11
baseline,44.45211875312136,1.2833333333333334,0.0,0.0,wifi_contention,12
duality_single,15.759410581602694,1.0583333333333333,7.000000000000001,15.0,wifi_contention,12
duality_dual,15.398722206488547,0.6416666666666667,5.558333333333334,15.0,wifi_contention,12
baseline,43.742849112916815,0.48333333333333334,0.0,0.0,wifi_contention,13
duality_single,15.1772329740581,0.4166666666666667,7.000000000000001,15.0,wifi_contention,13
duality_dual,15.120493684411151,0.2,5.258333333333333,15.0,wifi_contention,13
baseline,43.15081067364402,0.6083333333333333,0.0,0.0,wifi_contention,14
duality_single,14.257997032979825,0.5083333333333333,7.000000000000001,15.0,wifi_contention,14
duality_dual,14.2048189673218,0.0,5.583333333333333,15.0,wifi_contention,14
baseline,43.098611993027085,0.26666666666666666,0.0,0.0,wifi_contention,15
duality_single,14.477014029525913,0.21666666666666665,7.000000000000001,15.0,wifi_contention,15
duality_dual,14.3635575537372,0.008333333333333333,5.25,15.0,wifi_contention,15
baseline,41.96697200618508,0.8583333333333334,0.0,0.0,wifi_contention,16
duality_single,12.952514814547733,0.7083333333333333,7.000000000000001,15.0,wifi_contention,16
duality_dual,12.885095189156983,0.21666666666666665,5.6,15.0,wifi_contention,16
baseline,43.375258553449825,0.9583333333333333,0.0,0.0,wifi_contention,17
duality_single,14.630569373633673,0.7916666666666667,7.000000000000001,15.0,wifi_contention,17
duality_dual,14.441339901757466,0.35000000000000003,5.55,15.0,wifi_contention,17
baseline,41.38606254716759,0.9416666666666667,0.0,0.0,wifi_contention,18
duality_single,14.55630335113585,0.7916666666666667,7.000000000000001,15.0,wifi_contention,18
duality_dual,14.197711890852377,0.04166666666666667,5.875,15.0,wifi_contention,18
baseline,42.16613776699065,0.0,0.0,0.0,wifi_contention,19
duality_single,13.588893878930008,0.0,7.000000000000001,15.0,wifi_contention,19
duality_dual,13.588893878930008,0.0,5.0,15.0,wifi_contention,19
baseline,42.71176614468734,0.5833333333333334,0.0,0.0,wifi_contention,20
duality_single,12.745425278086397,0.49166666666666664,7.000000000000001,15.0,wifi_contention,20
duality_dual,12.347643646707155,0.0,5.558333333333334,15.0,wifi_contention,20
baseline,52.80903566504636,2.325,0.0,0.0,leo_satellite_like,1
duality_single,6.7010796385226,2.033333333333333,7.000000000000001,15.0,leo_satellite_like,1
duality_dual,4.804305192748082,0.11666666666666668,7.175,15.0,leo_satellite_like,1
baseline,56.31367163569064,0.0,0.0,0.0,leo_satellite_like,2
duality_single,6.650270026597823,0.0,7.000000000000001,15.0,leo_satellite_like,2
duality_dual,6.650270026597823,0.0,5.0,15.0,leo_satellite_like,2
baseline,54.139617720185385,0.7333333333333333,0.0,0.0,leo_satellite_like,3
duality_single,6.486310521104445,0.6416666666666667,7.000000000000001,15.0,leo_satellite_like,3
duality_dual,6.339336247439335,0.0,5.716666666666667,15.0,leo_satellite_like,3
baseline,54.364913913632414,0.0,0.0,0.0,leo_satellite_like,4
duality_single,10.986091179391266,0.0,7.000000000000001,15.0,leo_satellite_like,4
duality_dual,10.986091179391266,0.0,5.0,15.0,leo_satellite_like,4
baseline,55.165702342964025,0.9333333333333335,0.0,0.0,leo_satellite_like,5
duality_single,8.814573739807763,0.8166666666666665,7.000000000000001,15.0,leo_satellite_like,5
duality_dual,8.002517326690484,0.008333333333333333,5.916666666666667,15.0,leo_satellite_like,5
baseline,56.56307671930771,0.9583333333333333,0.0,0.0,leo_satellite_like,6
duality_single,4.238919038535557,0.8416666666666666,7.000000000000001,15.0,leo_satellite_like,6
duality_dual,3.9430883406872397,0.06666666666666667,5.875,15.0,leo_satellite_like,6
baseline,55.67956762287028,0.0,0.0,0.0,leo_satellite_like,7
duality_single,8.264833873361255,0.0,7.000000000000001,15.0,leo_satellite_like,7
duality_dual,8.264833873361255,0.0,5.0,15.0,leo_satellite_like,7
baseline,57.15149947480588,0.0,0.0,0.0,leo_satellite_like,8
duality_single,4.748667049830857,0.0,7.000000000000001,15.0,leo_satellite_like,8
duality_dual,4.748667049830857,0.0,5.0,15.0,leo_satellite_like,8
baseline,56.59314412045153,0.6333333333333333,0.0,0.0,leo_satellite_like,9
duality_single,11.7349410843806,0.5499999999999999,7.000000000000001,15.0,leo_satellite_like,9
duality_dual,11.61905725967527,0.025,5.6,15.0,leo_satellite_like,9
baseline,56.47605312161108,1.775,0.0,0.0,leo_satellite_like,10
duality_single,10.49022248756506,1.5583333333333333,7.000000000000001,15.0,leo_satellite_like,10
duality_dual,8.523449474395738,0.09166666666666666,6.65,15.0,leo_satellite_like,10
baseline,55.04551294910578,0.9166666666666666,0.0,0.0,leo_satellite_like,11
duality_single,5.004252943177079,0.8083333333333333,7.000000000000001,15.0,leo_satellite_like,11
duality_dual,4.534693547741497,0.0,5.9,15.0,leo_satellite_like,11
baseline,57.12111378060506,0.5083333333333333,0.0,0.0,leo_satellite_like,12
duality_single,11.40060340519744,0.4416666666666667,7.000000000000001,15.0,leo_satellite_like,12
duality_dual,10.877405626591585,0.14166666666666666,5.35,15.0,leo_satellite_like,12
baseline,56.475341273657186,0.0,0.0,0.0,leo_satellite_like,13
duality_single,6.6074219106310785,0.0,7.000000000000001,15.0,leo_satellite_like,13
duality_dual,6.6074219106310785,0.0,5.0,15.0,leo_satellite_like,13
baseline,51.20183090650802,0.675,0.0,0.0,leo_satellite_like,14
duality_single,5.919687829109943,0.5916666666666667,7.000000000000001,15.0,leo_satellite_like,14
duality_dual,5.204110838280762,0.008333333333333333,5.658333333333333,15.0,leo_satellite_like,14
baseline,52.45085228731268,2.2666666666666666,0.0,0.0,leo_satellite_like,15
duality_single,3.3160271595376045,1.9833333333333334,7.000000000000001,15.0,leo_satellite_like,15
duality_dual,2.232896683243446,0.15,7.083333333333333,15.0,leo_satellite_like,15
baseline,53.3995146164159,1.4833333333333334,0.0,0.0,leo_satellite_like,16
duality_single,9.01724431902462,1.3,7.000000000000001,15.0,leo_satellite_like,16
duality_dual,6.956303806142155,0.016666666666666666,6.433333333333334,15.0,leo_satellite_like,16
baseline,57.06872085132669,0.0,0.0,0.0,leo_satellite_like,17
duality_single,4.1681118693432495,0.0,7.000000000000001,15.0,leo_satellite_like,17
duality_dual,4.1681118693432495,0.0,5.0,15.0,leo_satellite_like,17
baseline,55.23589308829795,2.175,0.0,0.0,leo_satellite_like,18
duality_single,10.416269001432,1.9,7.000000000000001,15.0,leo_satellite_like,18
duality_dual,9.14754962256481,0.06666666666666667,7.066666666666666,15.0,leo_satellite_like,18
baseline,51.93308769427671,1.925,0.0,0.0,leo_satellite_like,19
duality_single,8.469592651560998,1.6916666666666667,7.000000000000001,15.0,leo_satellite_like,19
duality_dual,7.277501335532028,0.18333333333333332,6.708333333333333,15.0,leo_satellite_like,19
baseline,51.37654323160312,1.4000000000000001,0.0,0.0,leo_satellite_like,20
duality_single,3.04160339412185,1.2333333333333334,7.000000000000001,15.0,leo_satellite_like,20
duality_dual,2.6916080967019695,0.03333333333333333,6.35,15.0,leo_satellite_like,20
